name,DOB,weight,height,birth place,one day races,GC,TT,sprint,climber,PCS rank,UCI rank,All time rank,link,lonlat
Dries Devenyns,1983-07-22,65.0,1.77,Leuven,1574,1806,786,755,1576,804,1298,1109,rider/dries-devenyns,"(4.7011675, 50.879202)"
Yukiya Arashiro,1984-09-22,64.0,1.7,Ishigaki,1304,1172,122,1178,556,557,1572,1598,rider/yukiya-arashiro,"(124.1577569, 24.3382831)"
Giovanni Visconti,1983-01-13,63.0,1.75,Turin,5533,1979,804,3136,4102,1000000,1000000,233,rider/giovanni-visconti,"(7.6824892, 45.0677551)"
Alexandr Riabushenko,1995-10-12,61.0,1.78,Minsk,493,117,6,426,208,591,1104,1000000,rider/alexandr-riabushenko,"(27.5618225, 53.9024716)"
Samuele Zambelli,1998-04-02,70.0,1.8,Rovereto,58,0,3,128,11,2336,2488,1000000,rider/samuele-zambelli,"(11.0452369, 45.886548)"
Oscar Riesebeek,1992-12-23,78.0,1.91,Ede,562,374,58,472,146,264,478,1000000,rider/oscar-riesebeek,"(5.745510631034939, 52.07168255)"
Vicente Prado,1965-04-17,69.0,1.72,Pravia,36,58,0,130,0,1000000,1000000,1000000,rider/vicente-prado,"(-6.1491534714272085, 43.48209035)"
Elia Viviani,1989-02-07,67.0,1.78, Isola della Scala,4609,938,160,8407,1227,104,127,81,rider/elia-viviani,"(None, None)"
Djamolidine Abduzhaparov,1964-02-28,72.0,1.74,Tashkent,1433,486,297,7874,112,1000000,1000000,182,rider/djamolidine-abduzhaparov,"(69.2787079, 41.3123363)"
Tony Rominger,1961-03-27,65.0,1.75,Vejle,3535,8724,10827,5240,2219,1000000,1000000,16,rider/tony-rominger,"(9.5333238, 55.7000057)"
Martin Lavrič,1998-11-28,64.0,1.75,Ljubljana,7,28,0,16,8,1000000,2553,1000000,rider/martin-lavric,"(14.5069289, 46.0500268)"
Marcel Strauss,1976-08-15,69.0,1.8,Feuerthalen,513,436,114,548,60,1000000,1000000,1000000,rider/marcel-strauss,"(8.64598, 47.6914771)"
Roy Eefting,1989-09-04,75.0,1.78,Harderwijk,5,70,66,485,0,1800,2964,1000000,rider/roy-eefting,"(5.640271521392062, 52.33599915)"
John Archibald,1990-11-14,79.0,1.9,Edinburgh,7,5,143,0,0,1297,895,1000000,rider/john-archibald,"(-3.1883749, 55.9533456)"
Vinicius Rangel Costa,2001-05-26,64.0,1.78,Cabo Frio,21,0,0,2,1,1132,1049,1000000,rider/vinicius-rangel-costa,"(-42.0189227, -22.8804369)"
Bruno Armirail,1994-04-11,74.0,1.9,Bagnères-de-Bigorre,114,266,548,8,184,330,374,1000000,rider/bruno-armirail,"(0.1530914, 43.0658212)"
Thibault Guernalec,1997-07-31,71.0,1.85,Châteaulin,26,252,481,44,46,445,517,1000000,rider/thibault-guernalec,"(-4.0916875, 48.1968026)"
Aaron Van Der Beken,2000-11-13,66.0,1.85,Horebeke,1,3,0,1,6,1867,2150,1000000,rider/aaron-van-der-beken,"(3.6920346, 50.8348628)"
Fabien Doubey,1993-10-21,62.0,1.74,Viriat,132,285,18,50,252,398,606,1000000,rider/fabien-doubey,"(5.217143172032717, 46.2521541)"
Rasmus Bøgh Wallin,1996-01-02,78.0,1.95,Hellerup,127,12,8,283,3,1425,1040,1000000,rider/rasmus-bogh-wallin,"(12.5655408, 55.7336657)"
Lorrenzo Manzin,1994-07-26,69.0,1.75,Saint-Denis,759,290,2,1521,154,263,301,1000000,rider/lorrenzo-manzin,"(2.3580232, 48.935773)"
Thomas Day,2002-07-17,70.0,1.83,,0,0,15,0,0,2246,2052,1000000,rider/thomas-day,"(None, None)"
Xavier Jan,1970-06-02,62.0,1.74,Dinan,516,327,7,427,26,1000000,1000000,1000000,rider/xavier-jan,"(-2.047687, 48.4539775)"
Dayer Quintana,1992-08-10,58.0,1.67,Cómbita,114,424,0,46,323,1824,1944,1000000,rider/dayer-quintana-rojas,"(-73.30920200943183, 5.68998355)"
Simon Laib,1995-11-12,80.0,1.87,,0,0,3,2,0,1000000,1000000,1000000,rider/simon-laib,"(None, None)"
Steven Kleynen,1977-12-22,72.0,1.84,Leuven,315,212,9,238,32,1000000,1000000,1000000,rider/steven-kleynen,"(4.7011675, 50.879202)"
Alfdan De Decker,1996-09-09,68.0,1.7,Brasschaat,228,4,0,450,0,1000000,1000000,1000000,rider/alfdan-de-decker,"(4.4917295, 51.2900693)"
Miguel Indurain,1964-07-16,79.0,1.88,Villaba,2481,9704,10571,4069,2964,1000000,1000000,19,rider/miguel-indurain,"(124.3915957, 11.2131875)"
Federico Zurlo,1994-02-25,70.0,1.78,Cittadella,111,133,71,393,84,1000000,1000000,1000000,rider/federico-zurlo,"(11.7835801, 45.6487941)"
Thibault Ferasse,1994-09-12,61.0,1.68,Saint-Brieuc,322,125,46,144,137,409,382,1000000,rider/thibault-ferasse,"(-2.7603283, 48.5141134)"
Artur Sowinski,1997-01-29,63.0,1.78,,0,22,4,19,30,1201,1359,1000000,rider/artur-sowinski,"(None, None)"
Irwandie Lakasek,1995-01-30,71.0,1.8,,19,0,22,244,8,1072,990,1000000,rider/irwandie-lakasek,"(None, None)"
Mathias Frank,1986-12-09,64.0,1.76,Roggliswil,702,2877,604,316,2510,1808,1000000,1244,rider/mathias-frank,"(7.8827159, 47.2111654)"
Michael Boogerd,1972-05-28,62.0,1.78,The Hague,5095,4225,1035,2560,3396,1000000,1000000,217,rider/michael-boogerd,"(4.3113461, 52.0799838)"
Darijus Džervus,1990-07-20,77.0,1.87,Klaipeda,60,20,134,296,0,1000000,2941,1000000,rider/darijus-dzervus,"(21.1350469, 55.7127529)"
Hugo Toumire,2001-10-05,69.0,1.8,Rouen,2,39,0,1,23,825,677,1000000,rider/hugo-toumire,"(1.0939658, 49.4404591)"
Mikhail Shemetau,1994-07-21,79.0,1.88,,0,0,104,14,2,1000000,1000000,1000000,rider/mikhail-shemetau,"(None, None)"
Lucas De Rossi,1995-08-16,70.0,1.83,Marseille,66,65,27,68,40,1000000,1000000,1000000,rider/lucas-de-rossi,"(5.3699525, 43.2961743)"
Davide Formolo,1992-10-25,62.0,1.81,Negrar,1022,2137,166,148,2898,247,291,1446,rider/davide-formolo,"(10.9400217, 45.5296706)"
Zbigniew Piątek,1966-05-01,71.0,1.85,Kielce,510,496,91,749,32,1000000,1000000,1000000,rider/zbigniew-piatek,"(20.60991435210145, 50.85403585)"
Rolf Sørensen,1965-04-20,70.0,1.78,Helsinge,8744,2859,2752,6338,1182,1000000,1000000,84,rider/rolf-sorensen,"(24.95198750973692, 60.31919055)"
Steve Chainel,1983-09-06,69.0,1.8,Remiremont,550,176,0,807,50,1915,1598,1000000,rider/steve-chainel,"(6.583526275848484, 48.0032822)"
Manuele Boaro,1987-03-12,64.0,1.73, Bassano del Grappa,272,832,1266,355,327,780,1000000,1000000,rider/manuele-boaro,"(None, None)"
Lars Boven,2001-08-13,62.0,1.72,Reutum,0,4,60,22,14,1370,1727,1000000,rider/lars-boven,"(6.845769, 52.391015)"
Jens Reynders,1998-05-25,76.0,1.84,Tongeren,219,48,1,196,9,432,416,1000000,rider/jens-reynders,"(5.4639172, 50.7806267)"
Pierre Idjouadiene,1996-01-06,69.0,1.74,,80,10,0,84,29,1000000,1000000,1000000,rider/pierre-idjouadiene,"(None, None)"
José Antonio Garrido,1975-11-28,68.0,1.76,Barakaldo,40,315,104,172,78,1000000,1000000,1000000,rider/jose-antonio-garrido-lima,"(-2.9900933, 43.29548)"
Vitaliy Buts,1986-10-24,68.0,1.76,Mykolaiv,431,871,30,2591,164,1421,616,1000000,rider/vitaliy-buts,"(31.9442334, 47.3886032)"
Alges Maasikmets,1968-08-18,67.0,1.76,Tallinn,22,0,0,3,0,1000000,1000000,1000000,rider/alges-maasikmets,"(24.7453688, 59.4372155)"
Quinten Hermans,1995-07-29,62.0,1.74,Antwerp,365,362,87,285,522,136,110,1000000,rider/quinten-hermans,"(4.3997081, 51.2211097)"
Alexander Gratzer,2000-02-28,67.0,1.78,Hartberg,4,0,3,1,0,1000000,1000000,1000000,rider/alexander-gratzer,"(15.9691769, 47.2809371)"
Sjors Handgraaf,1991-01-31,66.0,1.84,,0,18,0,25,0,2298,1000000,1000000,rider/sjors-handgraaf,"(None, None)"
Daniel Atienza,1974-09-22,60.0,1.7,Moudon,266,1355,89,330,602,1000000,1000000,1000000,rider/daniel-atienza-urendez,"(6.8003478, 46.6680664)"
Simon Guglielmi,1997-07-01,66.0,1.8,Chambéry,99,86,3,60,128,592,845,1000000,rider/simon-guglielmi,"(5.9203636, 45.5662672)"
Umberto Marengo,1992-07-21,69.0,1.79,Javein,96,67,15,245,62,1466,2444,1000000,rider/umberto-marengo,"(None, None)"
Victor Koretzky,1994-08-26,69.0,1.8,Béziers,25,5,0,0,9,894,1168,1000000,rider/victor-koretzky,"(3.2131307, 43.3426562)"
Colin Heiderscheid,1998-01-28,73.0,1.8,,5,44,14,74,2,2052,2743,1000000,rider/colin-heiderscheid,"(None, None)"
Andreas Schillinger,1983-07-13,72.0,1.88,Kümmersbruck,521,283,37,784,59,1588,2388,1000000,rider/andreas-schillinger,"(11.8883978, 49.4191932)"
Erik Fetter,2000-04-05,70.0,1.9,Budapest,37,36,60,3,78,486,383,1000000,rider/erik-fetter,"(19.0403594, 47.4979937)"
Jan Tratnik,1990-02-23,67.0,1.73,Ljubljana,580,658,1536,860,626,193,168,1629,rider/jan-tratnik,"(14.5069289, 46.0500268)"
Pierre Latour,1993-10-12,66.0,1.8,Romans-sur-Isère,640,1946,1038,152,2522,111,136,1733,rider/pierre-latour,"(5.0528681, 45.0458886)"
Alejandro Ropero,1998-04-17,61.0,1.71,Granada,31,17,0,14,10,1364,2548,1000000,rider/alejandro-ropero,"(-3.5995337, 37.1734995)"
Abram Stockman,1996-07-31,67.0,1.82,Waregem,11,32,0,70,26,2323,2152,1000000,rider/abram-stockman,"(3.4323622, 50.8868222)"
Bart Leysen,1969-02-10,75.0,1.86,Herentals,1100,192,79,804,0,1000000,1000000,1000000,rider/bart-leysen,"(4.8362595, 51.1765426)"
Michele Bartoli,1970-05-27,65.0,1.79,Pisa,10572,1599,802,5100,2404,1000000,1000000,67,rider/michele-bartoli,"(10.4018624, 43.7159395)"
Fabien Grellier,1994-10-31,65.0,1.75,La Roche-sur-Yon,191,160,17,99,132,759,829,1000000,rider/fabien-grellier,"(-1.4269698, 46.6705431)"
Alastair Mackellar,2002-01-20,69.0,1.84,Nambour,0,0,33,0,34,1180,1827,1000000,rider/alastair-mackellar,"(152.959953, -26.6257326)"
Julien Vermote,1989-07-26,74.0,1.79,Kortrijk,516,645,381,308,146,1193,2500,1000000,rider/julien-vermote,"(3.2659884, 50.8276429)"
Stylianos Farantakis,1995-05-25,62.0,1.73,Chania,98,11,76,32,10,1000000,1000000,1000000,rider/stylianos-farantakis,"(24.0191544, 35.5120831)"
Roman Maikin,1990-08-14,68.0,1.77,Saint Petersburg,557,233,66,1377,86,1070,689,1000000,rider/roman-maikin,"(30.38061935702552, 59.917857350000006)"
Axel Zingle,1998-12-18,67.0,1.73,Mulhouse,392,32,57,160,119,171,135,1000000,rider/axel-zingle,"(7.3389937, 47.7467233)"
Connor Brown,1998-08-06,74.0,1.87,Cape Town,23,50,0,67,12,1038,1000000,1000000,rider/connor-brown2,"(18.417396, -33.928992)"
Cesare Benedetti,1987-08-03,63.0,1.7,Rovereto,380,438,1,228,326,529,1726,1000000,rider/cesare-benedetti,"(11.0452369, 45.886548)"
Nans Peters,1994-03-12,71.0,1.77,Grenoble,345,286,61,127,532,639,763,1000000,rider/nans-peters,"(5.7357819, 45.1875602)"
Michael Woods,1986-10-12,64.0,1.75,Toronto,2521,1851,40,302,4082,31,32,697,rider/michael-woods,"(-79.3839347, 43.6534817)"
Paul Esposti,1972-11-01,67.0,1.74,Cardiff,0,5,0,23,0,1000000,1000000,1000000,rider/paul-esposti,"(-3.1791934, 51.4816546)"
Bas Tietema,1995-01-29,74.0,1.85,Zwolle,7,3,25,55,0,1000000,1000000,1000000,rider/bas-tietema,"(6.0943765, 52.5089759)"
Corné van Kessel,1991-08-07,68.0,1.77,Veldhoven,63,7,12,137,3,1000000,2145,1000000,rider/corne-van-kessel,"(5.392731058176404, 51.40770635)"
Stuart Dangerfield,1971-09-17,65.0,1.7,Willenhall,50,0,224,38,0,1000000,1000000,1000000,rider/stuart-dangerfield,"(-2.0534738, 52.5847624)"
Adomaitis Rojus,1998-11-23,83.0,1.92,,15,13,4,15,0,1000000,1000000,1000000,rider/adomaitis-rojus,"(None, None)"
Enrico Zanoncello,1997-08-02,64.0,1.7,Isola della Scala,31,5,0,129,0,1103,1021,1000000,rider/enrico-zanoncello,"(11.0068888, 45.2731049)"
Dries De Pooter,2002-11-08,61.0,1.81,Geel,8,0,0,22,28,1611,1517,1000000,rider/dries-de-pooter,"(4.9903187, 51.1610826)"
Alessandro Baroni,2001-05-18,63.0,1.8,,0,18,1,12,0,1000000,2986,1000000,rider/alessandro-baroni,"(None, None)"
Wim Reynaerts,1995-05-12,70.0,1.84,Tongeren,23,0,0,29,0,1000000,1000000,1000000,rider/wim-reynaerts,"(5.4639172, 50.7806267)"
Simon Yates,1992-08-07,58.0,1.72,Bury,605,4025,933,219,4826,60,68,240,rider/simon-yates,"(2.3439338, 49.3132772)"
Ariya Phounsavath,1991-03-02,67.0,1.82,Vientiane,25,210,0,137,58,1000000,1000000,1000000,rider/ariya-phounsavath,"(102.6133707, 17.9640988)"
Joseba Albizu,1978-07-06,61.0,1.71,Azpeitia,375,72,13,266,33,1000000,1000000,1000000,rider/joseba-albizu-lizaso,"(-2.2657422, 43.1838618)"
Antoine Raugel,1999-02-14,70.0,1.85,Strasbourg,32,46,3,25,11,1129,1911,1000000,rider/antoine-raugel,"(7.7507127, 48.584614)"
Keisuke Aso,1992-04-14,67.0,1.73,,2,3,0,0,15,2142,1869,1000000,rider/keisuke-aso,"(None, None)"
Marcel Sieberg,1982-04-30,80.0,1.98,Castrop-Rauxel,1541,531,353,1676,141,1812,1000000,1000000,rider/marcel-sieberg,"(7.3106175, 51.5646195)"
Ricardo Valdés,1976-06-01,60.0,1.77,Mieres,8,54,0,119,1,1000000,1000000,1000000,rider/ricardo-valdes,"(-5.769931957999365, 43.23499575)"
Sven Montgomery,1976-05-10,62.0,1.78,Detmold,236,849,307,511,352,1000000,1000000,1000000,rider/sven-montgomery,"(8.8791526, 51.936284)"
Alois Kaňkovský,1983-07-19,83.0,1.93,Bělkovice-Lašťany,361,304,68,2519,0,1417,1303,1000000,rider/alois-kankovsky,"(17.3181635, 49.6697764)"
Laurenz Rex,1999-12-15,82.0,1.93,Marbourg,122,5,0,64,30,449,503,1000000,rider/laurenz-rex,"(0.3606336, 46.5890448)"
Yevgeniy Gidich,1996-05-19,69.0,1.79,Kökşetaw,264,480,20,1094,264,819,391,1000000,rider/yevgeniy-gidich,"(69.3814676, 53.2852054)"
Axel Merckx,1972-08-08,77.0,1.91,Uccle,2507,2104,506,1278,1708,1000000,1000000,971,rider/axel-merckx,"(4.3338445, 50.8035441)"
Benjamin Thomas,1995-09-12,68.0,1.79,Lavaur,160,663,815,286,280,105,100,1963,rider/benjamin-thomas-2,"(1.0230515, 44.6129697)"
Ceriel Desal,1999-10-20,72.0,1.87,Roeselare,10,40,1,26,0,774,2568,1000000,rider/ceriel-desal,"(3.124765, 50.9444948)"
Alexander Gontchenkov,1970-04-04,74.0,1.83,Lviv,1550,807,539,1338,276,1000000,1000000,998,rider/alexander-gontsjenkov,"(24.0315921, 49.841952)"
Mantas Januškevičius,1999-04-29,72.0,1.79,,8,0,0,5,0,1962,764,1000000,rider/mantas-januskevicius,"(None, None)"
Richard Habermann,1999-03-29,74.0,1.83,Jihlava,7,0,0,18,0,1000000,1000000,1000000,rider/richard-habermann,"(15.5903065, 49.396064)"
César Martingil,1995-01-10,68.0,1.72,Salvaterra de Magos,0,8,52,166,2,1000000,1000000,1000000,rider/cesar-martingil,"(-8.7929278, 39.0249942)"
João Almeida,1998-08-05,63.0,1.78,Caldas da Rainha,350,1914,1234,117,2091,10,15,912,rider/joao-almeida,"(-9.1346004, 39.4072118)"
Florian Dauphin,1999-04-06,70.0,1.81,,8,0,0,42,6,1874,1940,1000000,rider/florian-dauphin,"(None, None)"
Michal Hrazdira,1977-11-06,77.0,1.89,Brno,15,17,291,38,2,1000000,1000000,1000000,rider/michal-hrazdira,"(16.6113382, 49.1922443)"
Romain Sicard,1988-01-01,63.0,1.79,Bayonne,390,1096,340,81,718,1000000,1000000,1000000,rider/romain-sicard,"(-1.475099, 43.4933379)"
Urko Berrade,1997-11-28,68.0,1.84,Pamplona,19,120,58,12,47,419,409,1000000,rider/urko-berrade-fernandez,"(-1.6442556, 42.8184538)"
Ondřej Sosenka,1975-12-09,82.0,2.0,Prague,198,669,776,242,121,1000000,1000000,1328,rider/ondrej-sosenka,"(14.446459273258007, 50.0596288)"
Davide Rebellin,1971-08-09,63.0,1.71,San Bonifacio,15487,7580,2175,9476,7424,706,714,27,rider/davide-rebellin,"(11.2700817, 45.3956425)"
Mario Suchev,1994-08-27,68.0,1.86,,4,0,27,0,0,1000000,1000000,1000000,rider/mario-suchev,"(None, None)"
Aitor Escobar,1991-04-27,67.0,1.79,,0,0,0,36,0,1000000,1000000,1000000,rider/aitor-escobar,"(None, None)"
Clément Carisey,1992-03-23,74.0,1.86,Échirolles,28,88,41,66,26,985,1157,1000000,rider/clement-carisey,"(5.71927, 45.1437)"
Muhammad Abdurrahman,1997-05-16,56.0,1.69,,15,11,25,32,26,1095,817,1000000,rider/muhammad-abdurrahman,"(None, None)"
Ben Zwiehoff,1994-02-22,61.0,1.82,Essen,45,78,3,3,40,488,848,1000000,rider/ben-zwiehoff,"(7.0158171, 51.4582235)"
Erik Breukink,1964-04-01,70.0,1.85,Rheden,1310,5901,8472,2107,916,1000000,1000000,133,rider/erik-breukink,"(6.060504296329905, 52.03136695)"
Aldemar Reyes,1995-04-22,55.0,1.7,Ramiriquí,50,133,58,56,214,1143,1426,1000000,rider/aldemar-reyes-ortega,"(-73.30420599813321, 5.3291259)"
Felix Dopchie,1999-12-30,65.0,1.81,Anderlecht,6,0,0,6,0,1000000,1000000,1000000,rider/felix-dopchie,"(4.3296526, 50.8390983)"
Daniel Babor,1999-10-22,79.0,1.79,Beroun,14,10,14,170,0,820,482,1000000,rider/daniel-babor,"(14.0733907, 49.9640292)"
Geoffrey Soupe,1988-03-22,70.0,1.77,Viriat,196,277,150,434,198,1383,2198,1000000,rider/geoffrey-soupe,"(5.217143172032717, 46.2521541)"
Petr Kelemen,2000-11-18,70.0,1.9,,20,27,48,26,4,883,712,1000000,rider/petr-kelemeh,"(None, None)"
Niels van der Steen,1972-01-31,70.0,1.85,Hoogland,26,0,20,73,0,1000000,1000000,1000000,rider/niels-van-der-steen,"(5.3762224, 52.1872469)"
Victor Campenaerts,1991-10-28,68.0,1.73,Hoboken,447,770,3000,302,356,126,77,1324,rider/victor-campenaerts,"(-74.0323752, 40.7433066)"
Yoann Paillot,1991-05-28,72.0,1.87,Angoulême ,61,251,571,114,41,1581,3259,1000000,rider/yoann-paillot,"(None, None)"
Anthon Charmig,1998-03-25,66.0,1.82,Aarhus,14,244,23,5,147,273,311,1000000,rider/anthon-charmig,"(10.2134046, 56.1496278)"
Alexander Salby,1998-06-04,68.0,1.76,Aabenraa,9,28,0,173,0,641,1000000,1000000,rider/alexander-salby,"(9.4209667, 55.0446228)"
Federico Burchio,1996-03-21,62.0,1.76,Torino,26,14,16,149,6,1386,2190,1000000,rider/federico-burchio,"(7.6824892, 45.0677551)"
Mark Donovan,1999-04-03,70.0,1.86,Penrith,45,159,29,37,183,433,725,1000000,rider/mark-donovan,"(-2.7522047, 54.6639133)"
Alessandro Tonelli,1992-05-29,64.0,1.76,Brescia,86,110,8,141,177,462,841,1000000,rider/alessandro-tonelli,"(10.4258729694612, 45.77958045)"
Nathan Van Hooydonck,1995-10-12,78.0,1.93,Gooreind,261,281,297,124,53,451,682,1000000,rider/nathan-van-hooydonck,"(4.5429215, 51.3561633)"
Marc Sarreau,1993-06-10,76.0,1.82,Vierzon,1413,191,130,2074,118,346,357,1181,rider/marc-sarreau,"(2.0691421, 47.2217489)"
Clément Davy,1998-07-17,73.0,1.84,Fougères,20,30,79,11,0,837,2342,1000000,rider/clement-davy,"(-1.1958526, 48.3503362)"
Richard Virenque,1969-11-19,65.0,1.79,Casablanca,3854,5328,973,4190,3901,1000000,1000000,211,rider/richard-virenque,"(-7.6187768, 33.5950627)"
Peter Farazijn,1969-01-27,69.0,1.8,Diksmuide,1865,878,48,1046,358,1000000,1000000,1000000,rider/peter-farazijn,"(2.8647185, 51.0333408)"
Mauro Zanetti,1973-04-05,66.0,1.82,Iseo,442,181,2,249,139,1000000,1000000,1000000,rider/mauro-zanetti,"(10.038340955037654, 45.66550595)"
Mattia Frapporti,1994-07-02,74.0,1.82,Gavardo,66,41,34,136,20,2312,2434,1000000,rider/mattia-frapporti,"(10.438237, 45.5846274)"
Kenny Elissonde,1991-07-22,52.0,1.69, Longjumeau,265,1062,27,45,1419,234,292,1000000,rider/kenny-elissonde,"(None, None)"
Mikel Artetxe,1976-09-24,61.0,1.7,Larrabetzu,132,212,48,614,66,1000000,1000000,1000000,rider/mikel-artetxe,"(-2.7959022, 43.2612471)"
Eduard-Michael Grosu,1992-09-04,68.0,1.73,Zărnești,532,317,353,2602,382,600,931,1434,rider/eduard-michael-grosu,"(25.3160513, 45.5595685)"
Roberto Heras,1974-02-21,59.0,1.72,Béjar,655,5315,1976,1622,3571,1000000,1000000,157,rider/roberto-heras,"(-5.7649619, 40.3865812)"
Matthias Brändle,1989-12-07,80.0,1.9,Hohenems,474,993,3004,634,248,656,989,1451,rider/matthias-brandle,"(9.689271, 47.3639973)"
Jensen Plowright,2000-05-15,80.0,1.76,Melbourne,39,11,0,192,20,643,630,1000000,rider/jensen-plowright,"(144.9631608, -37.8142176)"
Martin Laas,1993-09-15,74.0,1.76,Tartu,212,249,89,1359,40,374,587,1993,rider/martin-laas,"(26.72245, 58.3801207)"
Fabio Felline,1990-03-29,68.0,1.75,Turin,1752,1386,1230,1105,1966,442,516,786,rider/fabio-felline,"(7.6824892, 45.0677551)"
Ognjen Ilić,1998-11-21,81.0,1.91,Aranđelovac,0,9,149,0,0,975,1385,1000000,rider/ognjen-ilic,"(20.5572396, 44.3074611)"
Reece Wood,1998-05-28,67.0,1.9,Wakefield,1,36,0,59,0,1000000,1000000,1000000,rider/reece-wood,"(-1.4967286, 53.6829541)"
Luke Rowe,1990-03-10,72.0,1.85,Cardiff,1144,431,142,744,174,846,1757,1000000,rider/luke-rowe,"(-3.1791934, 51.4816546)"
Stan Dewulf,1997-12-20,74.0,1.76,Stavele,553,280,65,439,245,132,109,1000000,rider/stan-dewulf,"(2.673321, 50.9398411)"
Robinson Chalapud,1984-03-08,63.0,1.75,Ipiales,133,426,89,256,320,1587,1000000,1000000,rider/robinson-chalapud,"(-77.6402069, 0.8278641)"
Francis Moreau,1965-07-21,77.0,1.87,Saint-Quentin,721,707,2528,824,60,1000000,1000000,1458,rider/francis-moreau,"(3.2876843, 49.8465253)"
Leslie Lührs,2001-03-23,77.0,1.89,Munich,0,0,0,20,0,1000000,2674,1000000,rider/leslie-luhrs,"(11.5753822, 48.1371079)"
Miles Scotson,1994-01-18,74.0,1.89,Adelaide,135,206,679,27,86,676,1244,1000000,rider/miles-scotson,"(138.5999312, -34.9281805)"
Thomas Lebas,1985-12-14,65.0,1.82,Pau,89,917,58,554,515,1259,1389,1000000,rider/thomas-lebas,"(-0.3685668, 43.2957547)"
Moreno Argentin,1960-12-17,66.0,1.75,San Donà di Piave,6846,1618,1164,5512,1544,1000000,1000000,66,rider/moreno-argentin,"(12.5641057, 45.6294811)"
Davide Bais,1998-04-02,66.0,1.85,Rovereto,11,55,20,9,18,917,2010,1000000,rider/davide-bais,"(11.0452369, 45.886548)"
Corbin Strong,2000-04-30,63.0,1.73,Invercargill,13,122,4,131,72,944,1434,1000000,rider/corbin-strong,"(168.3470632, -46.4118465)"
Timo Kielich,1999-08-05,73.0,1.85,Sint-Truiden,58,25,6,118,12,596,591,1000000,rider/timo-kielich,"(5.203424911603399, 50.82694775)"
Petr Rikunov,1997-02-24,71.0,1.85,Nizhny Novgorod ,22,5,25,8,3,1487,1417,1000000,rider/petr-rikunov,"(None, None)"
Chris Froome,1985-05-20,68.0,1.86,Nairobi,256,8256,4389,384,7426,806,1404,40,rider/christopher-froome,"(36.8172449, -1.2832533)"
Simone Ravanelli,1995-07-04,66.0,1.78,Bergamo,161,160,23,202,252,558,1063,1000000,rider/simone-ravanelli,"(9.754219200862249, 45.7566557)"
Martin Rittsel,1971-03-28,70.0,1.78,Södra Sandby,177,807,796,525,18,1000000,1000000,1000000,rider/martin-rittsel,"(13.3474337, 55.7171687)"
Matic Grošelj,1996-04-05,70.0,1.84,Trbovlje,14,1,64,104,0,1000000,1000000,1000000,rider/matic-groselj,"(15.0540204, 46.1558964)"
Rasmus Iversen,1997-09-16,77.0,1.9,Haderslev,80,19,6,8,0,1000000,1000000,1000000,rider/rasmus-byriel-iversen,"(9.4997871, 55.2500715)"
Kevin Deltombe,1994-02-27,66.0,1.78,Bruges,230,86,6,282,38,1000000,1000000,1000000,rider/kevin-deltombe,"(3.226772, 51.2085526)"
Kamiel Bonneu,1999-08-01,62.0,1.78,Hamont-Achel,50,14,0,0,36,642,557,1000000,rider/kamiel-bonneu,"(5.5128696, 51.2547636)"
Nicolas Roche,1984-07-03,70.0,1.78,Conflans-Sainte-Honorine,1345,3467,666,1263,5120,625,651,896,rider/nicolas-roche,"(2.0949768, 48.9938791)"
Niki Aebersold,1972-07-05,58.0,1.7,Freimettigen,1106,500,150,1054,520,1000000,1000000,1704,rider/niki-aebersold,"(7.6277729, 46.8677101)"
Jakob Fuglsang,1985-03-22,65.0,1.81,Geneva,3461,6358,1635,782,6698,106,79,151,rider/jakob-fuglsang,"(6.1466014, 46.2017559)"
Gediminas Bagdonas,1985-12-26,78.0,1.85,Mantviliškis,692,362,566,1058,90,1000000,1000000,1000000,rider/gediminas-bagdonas,"(23.8204235, 55.4405508)"
Lucas Carstensen,1994-06-16,69.0,1.75,Hamburg,49,100,36,1123,42,926,1956,1000000,rider/lucas-carstensen,"(10.000654, 53.550341)"
Boris Vallée,1993-06-03,79.0,1.88,Verviers,482,288,126,1069,31,1000000,1000000,1000000,rider/boris-vallee,"(5.867828, 50.59324)"
Gaspar Goncalves,1995-05-24,64.0,1.8,Lamego,7,41,39,11,25,1265,803,1000000,rider/gaspar-goncalves,"(-7.814995487505705, 41.0717403)"
Lander Loockx,1997-04-25,71.0,1.86,Bertem,0,0,50,1,3,2152,2813,1000000,rider/lander-loockx,"(4.6306262, 50.8659846)"
Fabio Duarte,1986-06-11,55.0,1.66,Facatativá,381,701,315,436,926,906,1000000,1000000,rider/fabio-andres-duarte,"(-74.3541284, 4.8097329)"
Alexander Kamp,1993-12-14,74.0,1.86,Copenhagen,382,453,41,799,306,461,305,1000000,rider/alexander-kamp,"(12.5700724, 55.6867243)"
Lars Van Ryckeghem,2002-09-18,80.0,1.89,,0,0,0,0,0,2074,3223,1000000,rider/lars-van-ryckeghem,"(None, None)"
Joseph Pidcock,2002-03-20,58.0,1.69,Leeds,0,0,2,15,2,2398,1000000,1000000,rider/joseph-pidcock,"(-1.5437941, 53.7974185)"
Joaquin Llach,1964-01-28,58.0,1.67,Olot,0,425,426,57,0,1000000,1000000,1000000,rider/joaquin-llach,"(2.4890211, 42.1822177)"
Michel Hessmann,2001-04-06,78.0,1.9,Münster,5,23,28,16,6,922,539,1000000,rider/michel-hessmann,"(7.6251879, 51.9625101)"
